,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3
261,"[812, 170, 83, 101]",0.02,0.0,0.0,0.94,0.01,0.01,0.02,"[328, 107, 80, 107]",0.07,0.0,0.01,0.0,0.11,0.0,0.8,,,,,,,,,,,,,,,,
262,"[323, 105, 89, 113]",0.16,0.0,0.02,0.01,0.18,0.0,0.64,"[821, 174, 80, 100]",0.29,0.0,0.03,0.66,0.01,0.01,0.01,"[275, 604, 23, 21]",0.06,0.05,0.07,0.4,0.14,0.0,0.27,,,,,,,,
263,"[844, 176, 76, 90]",0.31,0.0,0.02,0.1,0.3,0.0,0.26,"[332, 99, 81, 108]",0.23,0.0,0.01,0.01,0.09,0.0,0.66,"[276, 604, 20, 21]",0.03,0.02,0.05,0.78,0.05,0.0,0.07,,,,,,,,
264,"[329, 99, 87, 105]",0.14,0.0,0.03,0.0,0.19,0.0,0.63,"[866, 169, 82, 102]",0.13,0.0,0.0,0.66,0.03,0.0,0.18,,,,,,,,,,,,,,,,
265,"[853, 171, 79, 92]",0.15,0.0,0.02,0.37,0.1,0.0,0.36,"[324, 101, 87, 112]",0.02,0.0,0.0,0.02,0.01,0.0,0.95,"[277, 601, 24, 25]",0.03,0.15,0.08,0.21,0.17,0.0,0.35,,,,,,,,
266,"[323, 112, 78, 104]",0.13,0.0,0.01,0.01,0.06,0.0,0.79,"[816, 175, 82, 94]",0.07,0.0,0.01,0.81,0.04,0.0,0.07,,,,,,,,,,,,,,,,
267,"[817, 169, 80, 100]",0.28,0.0,0.02,0.56,0.06,0.0,0.08,"[329, 107, 83, 108]",0.22,0.0,0.03,0.0,0.32,0.0,0.43,,,,,,,,,,,,,,,,
268,"[323, 109, 80, 106]",0.19,0.0,0.02,0.01,0.16,0.0,0.61,"[833, 177, 79, 89]",0.14,0.0,0.02,0.01,0.81,0.0,0.01,,,,,,,,,,,,,,,,
269,"[320, 108, 81, 109]",0.19,0.0,0.02,0.01,0.14,0.0,0.63,"[846, 168, 81, 103]",0.54,0.0,0.05,0.14,0.15,0.0,0.13,"[188, 354, 20, 22]",0.11,0.0,0.07,0.02,0.75,0.01,0.04,,,,,,,,
270,"[321, 102, 85, 113]",0.09,0.0,0.01,0.01,0.11,0.0,0.78,,,,,,,,,,,,,,,,,,,,,,,,
271,"[324, 105, 82, 105]",0.1,0.0,0.03,0.01,0.21,0.0,0.65,"[843, 166, 81, 99]",0.21,0.0,0.04,0.34,0.09,0.0,0.31,"[276, 600, 27, 28]",0.01,0.46,0.08,0.13,0.08,0.0,0.23,,,,,,,,
272,"[851, 173, 77, 94]",0.7,0.0,0.01,0.03,0.07,0.0,0.19,"[321, 107, 85, 107]",0.18,0.0,0.03,0.0,0.34,0.0,0.44,,,,,,,,,,,,,,,,
