,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6
10,"[522, 89, 240, 313]",0.29,0.0,0.11,0.0,0.03,0.39,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"[528, 105, 232, 308]",0.16,0.0,0.18,0.0,0.08,0.03,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"[529, 113, 237, 317]",0.11,0.0,0.67,0.01,0.04,0.16,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"[525, 92, 237, 323]",0.11,0.0,0.29,0.0,0.06,0.1,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"[523, 92, 240, 321]",0.13,0.0,0.18,0.0,0.09,0.07,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"[524, 95, 240, 331]",0.21,0.0,0.62,0.02,0.1,0.02,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"[536, 98, 244, 329]",0.16,0.0,0.3,0.0,0.12,0.01,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"[533, 98, 242, 322]",0.09,0.0,0.16,0.01,0.03,0.01,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"[528, 90, 241, 318]",0.13,0.0,0.56,0.07,0.15,0.05,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"[266, 107, 130, 163]",0.07,0.0,0.01,0.26,0.09,0.0,0.56,"[782, 202, 91, 114]",0.22,0.0,0.27,0.13,0.13,0.09,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"[771, 144, 100, 125]",0.17,0.0,0.16,0.13,0.16,0.07,0.32,"[246, 51, 131, 166]",0.15,0.0,0.02,0.45,0.12,0.0,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"[534, 97, 245, 327]",0.1,0.0,0.42,0.0,0.09,0.04,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"[526, 94, 241, 311]",0.06,0.0,0.4,0.0,0.32,0.02,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"[508, 94, 243, 319]",0.11,0.0,0.63,0.01,0.03,0.14,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"[524, 86, 241, 334]",0.06,0.0,0.83,0.01,0.02,0.07,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,"[534, 108, 232, 314]",0.16,0.0,0.23,0.03,0.03,0.14,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"[518, 85, 242, 323]",0.05,0.0,0.38,0.08,0.04,0.08,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"[523, 85, 239, 314]",0.08,0.0,0.31,0.0,0.07,0.04,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"[519, 97, 244, 325]",0.04,0.0,0.02,0.0,0.02,0.01,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"[525, 99, 238, 320]",0.09,0.0,0.18,0.03,0.56,0.01,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"[683, 231, 43, 53]",0.4,0.0,0.03,0.0,0.37,0.0,0.2,"[188, 192, 74, 97]",0.07,0.0,0.03,0.67,0.01,0.0,0.22,"[1150, 229, 23, 30]",0.68,0.01,0.14,0.0,0.15,0.01,0.01,"[585, 218, 41, 46]",0.11,0.0,0.14,0.17,0.55,0.0,0.03,"[1126, 261, 34, 40]",0.5,0.0,0.16,0.0,0.3,0.01,0.02,"[812, 214, 25, 33]",0.08,0.0,0.37,0.01,0.52,0.01,0.01,,,,,,,,
31,"[668, 61, 41, 50]",0.51,0.0,0.04,0.0,0.22,0.0,0.22,"[185, 566, 79, 101]",0.0,0.0,0.0,0.99,0.0,0.0,0.01,"[194, 30, 67, 84]",0.25,0.0,0.03,0.48,0.02,0.01,0.22,"[1111, 58, 27, 33]",0.49,0.0,0.15,0.01,0.32,0.01,0.02,"[1092, 90, 33, 39]",0.3,0.0,0.2,0.0,0.47,0.0,0.02,"[572, 48, 41, 47]",0.08,0.0,0.2,0.28,0.4,0.0,0.04,"[792, 46, 24, 31]",0.2,0.0,0.25,0.02,0.51,0.01,0.01
32,"[528, 95, 246, 329]",0.1,0.0,0.56,0.02,0.08,0.04,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"[525, 90, 251, 325]",0.09,0.0,0.16,0.0,0.04,0.07,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"[529, 94, 245, 324]",0.07,0.0,0.53,0.02,0.01,0.15,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"[516, 77, 234, 317]",0.15,0.0,0.36,0.01,0.12,0.12,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
