,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7,box8,angry8,disgust8,fear8,happy8,sad8,surprise8,neutral8,box9,angry9,disgust9,fear9,happy9,sad9,surprise9,neutral9,box10,angry10,disgust10,fear10,happy10,sad10,surprise10,neutral10,box11,angry11,disgust11,fear11,happy11,sad11,surprise11,neutral11,box12,angry12,disgust12,fear12,happy12,sad12,surprise12,neutral12,box13,angry13,disgust13,fear13,happy13,sad13,surprise13,neutral13
35,"[556, 102, 139, 171]",0.06,0.0,0.02,0.01,0.02,0.01,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"[558, 100, 140, 182]",0.14,0.0,0.04,0.0,0.05,0.04,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"[546, 94, 149, 189]",0.41,0.0,0.23,0.01,0.15,0.03,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"[566, 90, 146, 188]",0.14,0.0,0.51,0.0,0.16,0.11,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"[539, 92, 152, 184]",0.15,0.0,0.12,0.11,0.05,0.02,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"[521, 97, 151, 183]",0.21,0.0,0.03,0.0,0.01,0.02,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"[545, 88, 146, 187]",0.12,0.0,0.31,0.02,0.04,0.38,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"[548, 97, 151, 191]",0.14,0.0,0.07,0.03,0.04,0.08,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"[542, 88, 150, 188]",0.26,0.0,0.43,0.07,0.11,0.06,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"[901, 467, 113, 138]",0.49,0.01,0.03,0.04,0.23,0.09,0.11,"[201, 391, 95, 115]",0.18,0.0,0.05,0.09,0.58,0.02,0.07,"[80, 314, 81, 96]",0.41,0.0,0.05,0.06,0.42,0.03,0.05,"[1090, 387, 95, 122]",0.41,0.0,0.04,0.03,0.21,0.25,0.05,"[505, 230, 23, 29]",0.56,0.0,0.05,0.02,0.32,0.03,0.02,"[369, 243, 33, 40]",0.57,0.01,0.05,0.03,0.26,0.07,0.02,"[179, 490, 146, 207]",0.18,0.0,0.05,0.02,0.37,0.09,0.29,"[1207, 238, 32, 40]",0.6,0.02,0.04,0.02,0.29,0.01,0.01,"[722, 324, 75, 91]",0.6,0.0,0.04,0.04,0.23,0.06,0.03,"[1066, 294, 50, 59]",0.57,0.01,0.05,0.08,0.22,0.05,0.02,"[53, 221, 22, 28]",0.59,0.01,0.03,0.09,0.2,0.06,0.02,"[445, 296, 50, 69]",0.68,0.01,0.03,0.04,0.13,0.1,0.02,,,,,,,,,,,,,,,,
