,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7,box8,angry8,disgust8,fear8,happy8,sad8,surprise8,neutral8,box9,angry9,disgust9,fear9,happy9,sad9,surprise9,neutral9,box10,angry10,disgust10,fear10,happy10,sad10,surprise10,neutral10,box11,angry11,disgust11,fear11,happy11,sad11,surprise11,neutral11
35,"[661, 122, 142, 179]",0.16,0.0,0.01,0.0,0.13,0.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"[641, 130, 150, 184]",0.17,0.0,0.02,0.02,0.22,0.0,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"[603, 164, 140, 176]",0.42,0.0,0.04,0.05,0.28,0.0,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"[683, 143, 141, 178]",0.28,0.0,0.03,0.02,0.17,0.0,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"[509, 108, 145, 185]",0.09,0.0,0.14,0.03,0.23,0.0,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"[408, 129, 137, 172]",0.07,0.0,0.17,0.0,0.45,0.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"[500, 128, 137, 169]",0.24,0.0,0.01,0.0,0.12,0.0,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"[504, 138, 140, 184]",0.16,0.0,0.37,0.06,0.17,0.04,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"[502, 133, 144, 185]",0.18,0.0,0.02,0.01,0.12,0.0,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"[493, 117, 145, 171]",0.18,0.0,0.26,0.01,0.29,0.04,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"[609, 104, 152, 184]",0.18,0.0,0.44,0.05,0.14,0.11,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"[601, 115, 145, 179]",0.25,0.0,0.28,0.01,0.25,0.02,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"[542, 128, 137, 171]",0.02,0.0,0.02,0.17,0.08,0.0,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"[622, 135, 137, 174]",0.15,0.0,0.03,0.25,0.16,0.0,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"[593, 123, 138, 176]",0.27,0.0,0.18,0.0,0.1,0.03,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"[538, 135, 139, 177]",0.16,0.0,0.42,0.01,0.15,0.14,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"[557, 105, 142, 175]",0.23,0.0,0.09,0.08,0.1,0.01,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"[514, 74, 44, 59]",0.04,0.0,0.01,0.83,0.04,0.0,0.08,"[458, 28, 36, 47]",0.49,0.0,0.07,0.0,0.28,0.07,0.08,"[714, 53, 48, 65]",0.06,0.0,0.01,0.91,0.01,0.0,0.01,"[146, 206, 74, 89]",0.0,0.0,0.0,0.98,0.0,0.0,0.01,"[78, 41, 56, 73]",0.77,0.0,0.02,0.01,0.08,0.01,0.11,"[278, 0, 40, 37]",0.14,0.0,0.01,0.06,0.2,0.0,0.59,"[682, 245, 59, 76]",0.02,0.0,0.0,0.58,0.03,0.0,0.36,"[496, 246, 63, 77]",0.11,0.0,0.06,0.09,0.08,0.05,0.6,"[929, 68, 46, 67]",0.35,0.0,0.03,0.01,0.36,0.01,0.24,"[745, 0, 33, 39]",0.69,0.0,0.03,0.04,0.16,0.01,0.06,"[875, 6, 39, 47]",0.13,0.0,0.04,0.09,0.71,0.01,0.02,"[590, 0, 40, 41]",0.22,0.0,0.16,0.18,0.27,0.0,0.18
