,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7,box8,angry8,disgust8,fear8,happy8,sad8,surprise8,neutral8,box9,angry9,disgust9,fear9,happy9,sad9,surprise9,neutral9,box10,angry10,disgust10,fear10,happy10,sad10,surprise10,neutral10,box11,angry11,disgust11,fear11,happy11,sad11,surprise11,neutral11,box12,angry12,disgust12,fear12,happy12,sad12,surprise12,neutral12
167,"[378, 107, 172, 214]",0.21,0.0,0.18,0.01,0.56,0.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,"[579, 110, 172, 209]",0.18,0.0,0.31,0.0,0.12,0.09,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,"[621, 103, 180, 221]",0.58,0.0,0.28,0.0,0.11,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,"[475, 105, 168, 208]",0.17,0.0,0.43,0.01,0.19,0.05,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,"[335, 101, 194, 247]",0.01,0.0,0.1,0.01,0.07,0.03,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,"[334, 100, 210, 256]",0.33,0.0,0.24,0.05,0.19,0.08,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,"[376, 132, 194, 247]",0.09,0.0,0.16,0.2,0.11,0.15,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,"[351, 90, 220, 271]",0.1,0.0,0.58,0.0,0.1,0.16,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,"[434, 118, 178, 229]",0.09,0.0,0.32,0.0,0.16,0.02,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,"[433, 121, 170, 212]",0.19,0.0,0.25,0.01,0.07,0.11,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
