,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2
279,"[555, 159, 185, 238]",0.75,0.0,0.11,0.0,0.11,0.0,0.02,"[698, 92, 267, 361]",0.07,0.0,0.2,0.41,0.05,0.02,0.25,,,,,,,,
280,"[564, 188, 184, 234]",0.67,0.03,0.12,0.0,0.17,0.0,0.01,"[692, 84, 284, 396]",0.24,0.0,0.12,0.25,0.06,0.01,0.32,,,,,,,,
281,"[636, 161, 174, 221]",0.38,0.31,0.08,0.0,0.21,0.0,0.02,"[704, 122, 262, 345]",0.24,0.0,0.19,0.18,0.18,0.01,0.2,,,,,,,,
282,"[663, 166, 174, 235]",0.41,0.09,0.3,0.0,0.18,0.01,0.01,,,,,,,,,,,,,,,,
283,"[551, 152, 181, 233]",0.32,0.01,0.33,0.0,0.27,0.0,0.08,"[707, 99, 266, 363]",0.08,0.0,0.26,0.44,0.06,0.01,0.16,,,,,,,,
284,"[653, 188, 172, 230]",0.34,0.03,0.25,0.02,0.36,0.0,0.01,,,,,,,,,,,,,,,,
285,"[638, 168, 173, 239]",0.34,0.06,0.18,0.01,0.36,0.04,0.02,,,,,,,,,,,,,,,,
286,"[532, 166, 189, 237]",0.71,0.0,0.1,0.0,0.15,0.0,0.04,"[705, 93, 273, 364]",0.11,0.0,0.3,0.22,0.1,0.01,0.26,,,,,,,,
287,"[604, 138, 184, 245]",0.25,0.0,0.15,0.0,0.56,0.0,0.04,,,,,,,,,,,,,,,,
288,"[600, 182, 179, 224]",0.11,0.08,0.1,0.0,0.71,0.0,0.0,,,,,,,,,,,,,,,,
289,"[618, 159, 170, 223]",0.51,0.08,0.14,0.0,0.25,0.01,0.01,"[690, 103, 281, 360]",0.07,0.0,0.19,0.33,0.09,0.01,0.31,,,,,,,,
290,"[551, 162, 177, 230]",0.36,0.0,0.21,0.0,0.37,0.0,0.06,"[703, 99, 266, 362]",0.07,0.0,0.26,0.46,0.06,0.0,0.15,,,,,,,,
291,"[571, 189, 182, 234]",0.59,0.0,0.15,0.0,0.25,0.0,0.01,,,,,,,,,,,,,,,,
292,"[642, 167, 169, 233]",0.18,0.01,0.22,0.01,0.52,0.0,0.05,"[711, 125, 260, 341]",0.29,0.0,0.21,0.03,0.31,0.01,0.15,,,,,,,,
293,"[599, 218, 176, 221]",0.37,0.03,0.22,0.0,0.37,0.0,0.01,,,,,,,,,,,,,,,,
294,"[559, 175, 188, 241]",0.05,0.0,0.11,0.0,0.83,0.0,0.01,"[695, 98, 272, 368]",0.07,0.0,0.07,0.52,0.04,0.01,0.29,,,,,,,,
295,"[602, 167, 182, 236]",0.1,0.02,0.17,0.0,0.71,0.0,0.01,,,,,,,,,,,,,,,,
296,"[586, 149, 188, 242]",0.34,0.02,0.25,0.0,0.32,0.0,0.07,"[700, 105, 268, 355]",0.15,0.0,0.12,0.17,0.18,0.0,0.38,,,,,,,,
297,"[672, 130, 184, 250]",0.26,0.0,0.38,0.0,0.31,0.0,0.04,,,,,,,,,,,,,,,,
298,"[654, 174, 183, 232]",0.09,0.05,0.1,0.0,0.75,0.0,0.01,,,,,,,,,,,,,,,,
299,"[676, 229, 175, 232]",0.17,0.01,0.3,0.0,0.5,0.0,0.02,,,,,,,,,,,,,,,,
300,"[640, 172, 181, 240]",0.18,0.01,0.37,0.0,0.38,0.02,0.04,,,,,,,,,,,,,,,,
301,"[617, 178, 178, 226]",0.04,0.0,0.23,0.0,0.71,0.0,0.02,,,,,,,,,,,,,,,,
302,"[545, 148, 179, 229]",0.23,0.0,0.13,0.0,0.43,0.0,0.21,"[707, 96, 267, 363]",0.06,0.0,0.22,0.54,0.04,0.0,0.13,,,,,,,,
303,"[602, 161, 184, 236]",0.19,0.03,0.17,0.0,0.53,0.0,0.08,,,,,,,,,,,,,,,,
304,"[583, 128, 191, 246]",0.14,0.0,0.37,0.0,0.45,0.0,0.03,"[697, 105, 278, 354]",0.03,0.0,0.31,0.39,0.09,0.01,0.18,,,,,,,,
