,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3
350,"[596, 124, 160, 196]",0.11,0.0,0.03,0.0,0.14,0.0,0.72,,,,,,,,,,,,,,,,,,,,,,,,
351,"[615, 135, 158, 200]",0.14,0.0,0.09,0.0,0.19,0.01,0.57,"[704, 640, 31, 34]",0.31,0.0,0.25,0.05,0.28,0.08,0.04,,,,,,,,,,,,,,,,
352,"[648, 122, 159, 200]",0.33,0.0,0.13,0.04,0.37,0.01,0.12,,,,,,,,,,,,,,,,,,,,,,,,
353,"[618, 114, 152, 194]",0.3,0.0,0.09,0.0,0.09,0.35,0.18,"[736, 637, 36, 38]",0.1,0.0,0.09,0.02,0.07,0.67,0.05,"[833, 667, 35, 35]",0.0,0.0,0.04,0.0,0.02,0.93,0.01,,,,,,,,
354,"[592, 149, 151, 188]",0.03,0.0,0.01,0.0,0.05,0.0,0.91,"[863, 668, 30, 41]",0.14,0.0,0.35,0.24,0.06,0.16,0.06,,,,,,,,,,,,,,,,
355,"[629, 129, 165, 210]",0.14,0.0,0.29,0.0,0.27,0.05,0.24,"[832, 659, 27, 27]",0.36,0.0,0.09,0.07,0.04,0.36,0.08,"[806, 631, 36, 43]",0.72,0.0,0.05,0.0,0.23,0.0,0.0,,,,,,,,
356,"[627, 131, 158, 199]",0.09,0.0,0.36,0.01,0.18,0.06,0.3,"[837, 651, 30, 32]",0.15,0.0,0.29,0.07,0.09,0.27,0.13,"[766, 563, 78, 100]",0.01,0.0,0.03,0.0,0.05,0.0,0.91,,,,,,,,
357,"[399, 145, 165, 200]",0.24,0.0,0.02,0.0,0.11,0.02,0.6,,,,,,,,,,,,,,,,,,,,,,,,
358,"[613, 121, 159, 201]",0.31,0.0,0.09,0.01,0.18,0.01,0.4,,,,,,,,,,,,,,,,,,,,,,,,
359,"[524, 135, 162, 193]",0.32,0.0,0.03,0.0,0.21,0.0,0.44,,,,,,,,,,,,,,,,,,,,,,,,
360,"[590, 127, 158, 193]",0.34,0.0,0.03,0.0,0.12,0.01,0.49,"[752, 630, 29, 36]",0.99,0.0,0.01,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
361,"[589, 124, 161, 204]",0.15,0.0,0.28,0.0,0.25,0.06,0.26,,,,,,,,,,,,,,,,,,,,,,,,
362,"[636, 116, 160, 212]",0.33,0.0,0.09,0.01,0.38,0.0,0.19,,,,,,,,,,,,,,,,,,,,,,,,
363,"[562, 117, 171, 204]",0.21,0.0,0.13,0.0,0.17,0.03,0.46,,,,,,,,,,,,,,,,,,,,,,,,
364,"[631, 118, 155, 190]",0.36,0.0,0.02,0.0,0.11,0.01,0.49,,,,,,,,,,,,,,,,,,,,,,,,
