,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7
82,"[1116, 478, 81, 108]",0.04,0.0,0.01,0.09,0.16,0.0,0.7,"[856, 463, 85, 117]",0.16,0.0,0.04,0.3,0.07,0.02,0.4,"[284, 102, 91, 133]",0.34,0.0,0.05,0.17,0.11,0.01,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"[999, 439, 65, 91]",0.1,0.0,0.01,0.01,0.04,0.0,0.84,"[771, 420, 78, 107]",0.16,0.0,0.02,0.2,0.14,0.0,0.49,"[290, 139, 78, 111]",0.04,0.0,0.01,0.42,0.09,0.01,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"[293, 107, 75, 105]",0.17,0.0,0.02,0.48,0.07,0.01,0.26,"[935, 415, 63, 91]",0.21,0.0,0.02,0.01,0.11,0.0,0.65,"[720, 400, 73, 96]",0.08,0.0,0.08,0.01,0.1,0.0,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"[293, 104, 72, 101]",0.06,0.0,0.01,0.68,0.1,0.01,0.14,"[881, 376, 60, 78]",0.22,0.0,0.02,0.01,0.06,0.0,0.69,"[695, 373, 68, 89]",0.03,0.0,0.01,0.03,0.01,0.0,0.93,"[1065, 407, 56, 79]",0.08,0.0,0.01,0.5,0.12,0.01,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"[284, 103, 70, 102]",0.25,0.0,0.08,0.4,0.08,0.04,0.14,"[708, 370, 66, 91]",0.24,0.0,0.06,0.31,0.1,0.06,0.23,"[883, 371, 58, 78]",0.32,0.01,0.02,0.01,0.1,0.0,0.54,"[1047, 404, 59, 82]",0.33,0.0,0.06,0.04,0.41,0.0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"[697, 370, 60, 83]",0.09,0.0,0.02,0.1,0.07,0.0,0.72,"[882, 374, 59, 81]",0.32,0.0,0.04,0.01,0.1,0.01,0.53,"[1031, 407, 59, 80]",0.26,0.0,0.01,0.24,0.15,0.0,0.34,"[267, 93, 71, 103]",0.08,0.0,0.02,0.56,0.07,0.02,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,"[461, 129, 149, 190]",0.17,0.0,0.01,0.04,0.13,0.0,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"[438, 134, 153, 202]",0.01,0.0,0.0,0.07,0.04,0.0,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,"[458, 107, 148, 196]",0.19,0.0,0.02,0.07,0.09,0.0,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"[409, 132, 149, 192]",0.47,0.0,0.02,0.04,0.3,0.02,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
