,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1
167,"[576, 98, 143, 188]",0.24,0.0,0.47,0.0,0.09,0.11,0.1,,,,,,,,
168,"[557, 109, 140, 181]",0.29,0.0,0.34,0.0,0.11,0.06,0.2,,,,,,,,
169,"[563, 96, 146, 192]",0.06,0.0,0.87,0.0,0.02,0.02,0.02,,,,,,,,
170,"[443, 120, 139, 180]",0.18,0.0,0.69,0.0,0.02,0.06,0.03,,,,,,,,
171,"[529, 82, 135, 175]",0.09,0.0,0.59,0.0,0.03,0.19,0.09,,,,,,,,
172,"[540, 88, 136, 183]",0.1,0.0,0.53,0.0,0.09,0.26,0.03,,,,,,,,
173,"[542, 74, 145, 195]",0.08,0.0,0.81,0.01,0.01,0.09,0.0,,,,,,,,
174,"[506, 119, 148, 202]",0.08,0.0,0.37,0.0,0.01,0.53,0.01,,,,,,,,
175,"[537, 91, 141, 189]",0.13,0.0,0.75,0.0,0.04,0.04,0.04,,,,,,,,
176,"[565, 86, 139, 187]",0.35,0.0,0.38,0.0,0.07,0.04,0.17,,,,,,,,
177,"[562, 106, 147, 194]",0.34,0.0,0.51,0.0,0.06,0.02,0.06,,,,,,,,
178,"[555, 120, 134, 175]",0.5,0.0,0.08,0.0,0.12,0.1,0.19,,,,,,,,
179,"[586, 108, 132, 171]",0.41,0.01,0.03,0.01,0.03,0.03,0.49,,,,,,,,
180,"[601, 138, 141, 184]",0.29,0.0,0.09,0.04,0.02,0.06,0.49,,,,,,,,
181,"[577, 123, 142, 184]",0.42,0.0,0.31,0.0,0.11,0.08,0.08,,,,,,,,
182,"[575, 107, 141, 187]",0.42,0.0,0.35,0.0,0.03,0.04,0.16,,,,,,,,
183,"[553, 124, 141, 178]",0.11,0.0,0.25,0.01,0.2,0.0,0.42,,,,,,,,
184,"[540, 100, 141, 183]",0.17,0.0,0.46,0.0,0.21,0.1,0.06,,,,,,,,
185,"[529, 78, 142, 184]",0.07,0.0,0.8,0.0,0.02,0.11,0.01,,,,,,,,
186,"[555, 95, 145, 195]",0.19,0.0,0.31,0.0,0.07,0.03,0.4,,,,,,,,
187,"[554, 92, 142, 188]",0.22,0.0,0.64,0.0,0.04,0.02,0.07,,,,,,,,
188,"[499, 102, 153, 203]",0.09,0.0,0.78,0.0,0.05,0.04,0.05,,,,,,,,
189,"[553, 123, 142, 184]",0.35,0.0,0.36,0.0,0.11,0.14,0.04,,,,,,,,
190,"[570, 107, 141, 186]",0.13,0.0,0.45,0.0,0.02,0.39,0.02,,,,,,,,
191,"[523, 94, 138, 183]",0.04,0.0,0.86,0.0,0.05,0.03,0.02,,,,,,,,
192,"[563, 96, 143, 193]",0.3,0.0,0.49,0.0,0.05,0.01,0.14,,,,,,,,
193,"[585, 82, 143, 192]",0.17,0.0,0.64,0.0,0.05,0.03,0.11,,,,,,,,
194,"[531, 81, 138, 186]",0.2,0.0,0.65,0.0,0.01,0.1,0.03,,,,,,,,
195,"[546, 96, 147, 197]",0.13,0.0,0.52,0.03,0.03,0.04,0.25,,,,,,,,
196,"[486, 97, 143, 184]",0.1,0.0,0.64,0.0,0.16,0.01,0.09,,,,,,,,
197,"[482, 94, 141, 186]",0.08,0.0,0.26,0.0,0.07,0.53,0.06,,,,,,,,
198,"[529, 112, 148, 200]",0.05,0.0,0.81,0.0,0.06,0.05,0.04,,,,,,,,
199,"[502, 102, 138, 185]",0.44,0.0,0.33,0.0,0.03,0.15,0.05,,,,,,,,
200,"[514, 102, 145, 197]",0.08,0.0,0.21,0.0,0.05,0.09,0.56,,,,,,,,
201,"[514, 101, 130, 172]",0.15,0.0,0.46,0.0,0.03,0.3,0.06,,,,,,,,
202,"[516, 110, 139, 187]",0.19,0.0,0.61,0.0,0.03,0.15,0.02,,,,,,,,
203,"[508, 101, 138, 181]",0.15,0.0,0.68,0.0,0.03,0.08,0.05,,,,,,,,
204,"[591, 116, 143, 192]",0.09,0.0,0.8,0.07,0.02,0.02,0.0,,,,,,,,
205,"[554, 87, 140, 182]",0.11,0.0,0.51,0.0,0.07,0.23,0.08,,,,,,,,
206,"[549, 104, 142, 181]",0.31,0.0,0.48,0.0,0.1,0.08,0.03,,,,,,,,
207,"[575, 90, 137, 183]",0.06,0.0,0.76,0.0,0.01,0.15,0.01,,,,,,,,
208,"[597, 123, 137, 189]",0.13,0.0,0.6,0.0,0.08,0.1,0.08,,,,,,,,
209,"[503, 105, 149, 198]",0.1,0.0,0.3,0.0,0.02,0.06,0.51,,,,,,,,
210,"[573, 104, 152, 201]",0.08,0.0,0.35,0.01,0.06,0.02,0.49,,,,,,,,
211,"[542, 82, 135, 170]",0.02,0.0,0.71,0.0,0.01,0.27,0.0,,,,,,,,
212,"[562, 131, 139, 186]",0.34,0.0,0.54,0.0,0.01,0.09,0.02,,,,,,,,
213,"[556, 97, 138, 184]",0.25,0.0,0.6,0.0,0.02,0.06,0.05,,,,,,,,
214,"[541, 92, 143, 189]",0.28,0.0,0.49,0.0,0.13,0.07,0.03,,,,,,,,
215,"[565, 83, 142, 190]",0.09,0.0,0.7,0.0,0.02,0.16,0.02,,,,,,,,
216,"[578, 98, 141, 185]",0.25,0.0,0.09,0.0,0.22,0.0,0.44,,,,,,,,
217,"[556, 76, 135, 180]",0.35,0.0,0.45,0.02,0.06,0.06,0.06,,,,,,,,
218,"[520, 100, 153, 204]",0.13,0.0,0.25,0.0,0.06,0.02,0.54,,,,,,,,
219,"[534, 101, 134, 174]",0.64,0.01,0.21,0.0,0.08,0.04,0.01,,,,,,,,
220,"[577, 112, 137, 173]",0.54,0.0,0.05,0.0,0.1,0.02,0.3,,,,,,,,
221,"[589, 95, 135, 182]",0.18,0.0,0.48,0.01,0.09,0.02,0.22,,,,,,,,
222,"[598, 107, 139, 184]",0.27,0.0,0.52,0.0,0.08,0.03,0.09,,,,,,,,
223,"[592, 119, 134, 181]",0.56,0.0,0.28,0.0,0.03,0.07,0.06,,,,,,,,
224,"[584, 105, 143, 188]",0.33,0.0,0.38,0.0,0.1,0.07,0.12,,,,,,,,
225,"[467, 90, 142, 192]",0.14,0.0,0.56,0.0,0.03,0.21,0.05,,,,,,,,
226,"[560, 101, 137, 178]",0.21,0.0,0.03,0.0,0.17,0.0,0.58,,,,,,,,
227,"[511, 130, 139, 185]",0.13,0.0,0.51,0.0,0.07,0.02,0.27,,,,,,,,
228,"[543, 87, 138, 179]",0.19,0.0,0.57,0.0,0.12,0.07,0.05,,,,,,,,
229,"[526, 87, 141, 183]",0.03,0.0,0.84,0.0,0.03,0.09,0.01,,,,,,,,
230,"[539, 104, 142, 190]",0.24,0.0,0.47,0.0,0.23,0.01,0.06,,,,,,,,
231,"[551, 113, 142, 186]",0.03,0.0,0.87,0.0,0.04,0.01,0.04,,,,,,,,
232,"[577, 114, 134, 177]",0.31,0.0,0.54,0.0,0.06,0.02,0.06,,,,,,,,
233,"[567, 112, 141, 185]",0.27,0.0,0.65,0.0,0.03,0.02,0.02,,,,,,,,
234,"[583, 118, 139, 192]",0.04,0.0,0.71,0.0,0.02,0.21,0.01,,,,,,,,
235,"[562, 115, 138, 183]",0.08,0.0,0.85,0.0,0.02,0.04,0.0,,,,,,,,
236,"[561, 91, 136, 179]",0.05,0.0,0.85,0.0,0.01,0.09,0.0,,,,,,,,
237,"[534, 116, 143, 184]",0.18,0.0,0.64,0.0,0.11,0.04,0.03,,,,,,,,
238,"[495, 81, 145, 186]",0.11,0.0,0.86,0.0,0.01,0.02,0.01,,,,,,,,
239,"[569, 99, 137, 182]",0.24,0.0,0.39,0.0,0.1,0.06,0.21,,,,,,,,
240,"[539, 121, 142, 189]",0.19,0.0,0.64,0.0,0.05,0.03,0.09,,,,,,,,
241,"[540, 108, 142, 191]",0.2,0.0,0.6,0.0,0.06,0.02,0.11,,,,,,,,
