,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4
139,"[563, 116, 201, 257]",0.12,0.0,0.03,0.12,0.03,0.11,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,"[504, 87, 200, 263]",0.0,0.0,0.0,0.98,0.0,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,"[569, 96, 200, 246]",0.27,0.0,0.21,0.0,0.09,0.05,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,"[530, 165, 208, 261]",0.04,0.0,0.05,0.6,0.03,0.02,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,"[567, 106, 193, 254]",0.13,0.0,0.16,0.29,0.09,0.14,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,"[539, 127, 194, 264]",0.1,0.0,0.05,0.35,0.01,0.21,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,"[613, 132, 199, 257]",0.08,0.0,0.07,0.01,0.15,0.01,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,"[632, 134, 195, 257]",0.03,0.0,0.01,0.35,0.03,0.01,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,"[529, 146, 191, 252]",0.19,0.0,0.02,0.73,0.0,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,"[610, 126, 199, 256]",0.18,0.0,0.07,0.13,0.07,0.12,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,"[517, 112, 212, 268]",0.02,0.0,0.34,0.03,0.19,0.13,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,"[521, 136, 210, 258]",0.02,0.0,0.02,0.84,0.01,0.01,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,"[586, 112, 203, 255]",0.31,0.0,0.02,0.01,0.08,0.1,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,"[561, 109, 201, 260]",0.24,0.0,0.07,0.11,0.03,0.32,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,"[432, 122, 200, 246]",0.18,0.0,0.13,0.01,0.23,0.02,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,"[559, 119, 192, 250]",0.2,0.0,0.09,0.05,0.1,0.11,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,"[568, 127, 207, 258]",0.34,0.0,0.1,0.2,0.09,0.1,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,"[540, 109, 211, 261]",0.07,0.0,0.06,0.07,0.15,0.07,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,"[562, 100, 212, 262]",0.02,0.0,0.05,0.69,0.04,0.08,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,"[624, 127, 185, 245]",0.12,0.0,0.07,0.02,0.14,0.11,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,"[589, 116, 208, 260]",0.06,0.0,0.12,0.33,0.11,0.05,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,"[614, 133, 214, 272]",0.13,0.01,0.18,0.05,0.26,0.03,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,"[579, 111, 202, 257]",0.32,0.0,0.05,0.01,0.1,0.05,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,"[593, 111, 209, 265]",0.08,0.0,0.07,0.04,0.08,0.18,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,"[553, 75, 197, 239]",0.11,0.0,0.24,0.0,0.28,0.02,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,"[578, 105, 209, 265]",0.09,0.0,0.17,0.24,0.04,0.1,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,"[486, 125, 202, 251]",0.16,0.0,0.05,0.07,0.06,0.04,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,"[628, 147, 197, 256]",0.18,0.0,0.04,0.21,0.05,0.03,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,"[454, 148, 206, 263]",0.36,0.0,0.07,0.1,0.05,0.03,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,"[470, 151, 194, 256]",0.21,0.0,0.11,0.0,0.07,0.03,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,"[511, 135, 211, 265]",0.19,0.0,0.03,0.12,0.06,0.07,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,"[542, 156, 201, 258]",0.05,0.0,0.04,0.18,0.16,0.03,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,"[557, 148, 210, 263]",0.16,0.0,0.08,0.04,0.18,0.07,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,"[515, 152, 203, 257]",0.31,0.0,0.05,0.11,0.08,0.02,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,"[565, 180, 204, 253]",0.01,0.0,0.01,0.87,0.01,0.01,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,"[581, 97, 198, 244]",0.02,0.0,0.21,0.0,0.05,0.06,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,"[613, 155, 199, 247]",0.1,0.0,0.12,0.33,0.11,0.1,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,"[500, 100, 208, 257]",0.02,0.0,0.55,0.07,0.08,0.15,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,"[484, 135, 200, 259]",0.25,0.0,0.22,0.16,0.06,0.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"[611, 111, 189, 253]",0.06,0.0,0.08,0.61,0.08,0.03,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,"[494, 91, 213, 264]",0.16,0.0,0.19,0.01,0.09,0.05,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,"[508, 116, 198, 254]",0.17,0.0,0.2,0.13,0.11,0.06,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,"[528, 105, 197, 253]",0.23,0.0,0.12,0.0,0.17,0.06,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,"[599, 102, 197, 258]",0.0,0.0,0.01,0.97,0.01,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,"[536, 121, 198, 250]",0.18,0.0,0.03,0.07,0.03,0.01,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,"[510, 114, 192, 253]",0.35,0.0,0.05,0.01,0.04,0.09,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,"[569, 123, 195, 246]",0.11,0.0,0.01,0.3,0.02,0.25,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,"[585, 104, 203, 254]",0.1,0.0,0.05,0.03,0.08,0.01,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,"[521, 104, 199, 260]",0.0,0.0,0.01,0.95,0.0,0.03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,"[547, 123, 201, 252]",0.06,0.01,0.06,0.43,0.24,0.05,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,"[617, 87, 205, 257]",0.29,0.0,0.07,0.01,0.11,0.05,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,"[552, 119, 204, 260]",0.19,0.0,0.01,0.01,0.02,0.0,0.77,"[926, 479, 79, 110]",0.19,0.02,0.1,0.06,0.36,0.18,0.1,,,,,,,,,,,,,,,,,,,,,,,,
191,"[591, 132, 208, 258]",0.03,0.0,0.1,0.56,0.05,0.12,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,"[582, 117, 211, 273]",0.03,0.0,0.09,0.01,0.23,0.2,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,"[514, 112, 196, 252]",0.31,0.0,0.13,0.0,0.04,0.07,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,"[598, 122, 202, 259]",0.03,0.0,0.04,0.15,0.04,0.06,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,"[554, 139, 201, 252]",0.29,0.0,0.1,0.02,0.27,0.03,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,"[520, 102, 197, 259]",0.12,0.0,0.09,0.23,0.03,0.13,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,"[650, 135, 195, 252]",0.18,0.04,0.08,0.13,0.11,0.07,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,"[488, 134, 203, 254]",0.08,0.0,0.02,0.45,0.07,0.03,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,"[578, 80, 191, 242]",0.02,0.0,0.7,0.0,0.04,0.11,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,"[479, 135, 191, 252]",0.4,0.0,0.11,0.12,0.06,0.14,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,"[498, 141, 190, 250]",0.39,0.02,0.12,0.04,0.06,0.21,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,"[512, 135, 192, 243]",0.15,0.0,0.11,0.17,0.07,0.04,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,"[631, 138, 189, 251]",0.23,0.0,0.02,0.01,0.15,0.03,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,"[502, 134, 189, 247]",0.3,0.0,0.1,0.03,0.04,0.12,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,"[620, 131, 199, 255]",0.03,0.0,0.05,0.26,0.11,0.04,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,"[544, 130, 207, 276]",0.04,0.0,0.17,0.14,0.1,0.19,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,"[574, 118, 204, 262]",0.03,0.0,0.2,0.29,0.08,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,"[522, 89, 199, 255]",0.12,0.0,0.13,0.03,0.07,0.03,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,"[573, 118, 196, 256]",0.49,0.0,0.04,0.01,0.1,0.03,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,"[560, 119, 202, 257]",0.08,0.0,0.03,0.3,0.05,0.09,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
