,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0
160,"[576, 78, 133, 173]",0.05,0.0,0.06,0.01,0.05,0.02,0.8
161,"[589, 82, 123, 161]",0.03,0.0,0.12,0.0,0.02,0.06,0.77
162,"[588, 79, 129, 172]",0.15,0.0,0.06,0.04,0.03,0.03,0.7
163,"[590, 85, 127, 170]",0.05,0.0,0.01,0.02,0.02,0.0,0.9
164,"[589, 78, 131, 171]",0.03,0.0,0.06,0.08,0.01,0.07,0.75
165,"[589, 82, 127, 168]",0.01,0.0,0.01,0.01,0.01,0.0,0.96
166,"[582, 80, 127, 164]",0.02,0.0,0.03,0.02,0.02,0.01,0.9
167,"[585, 86, 124, 162]",0.04,0.0,0.02,0.02,0.02,0.0,0.89
168,"[587, 84, 126, 166]",0.03,0.0,0.02,0.01,0.01,0.0,0.93
169,"[589, 81, 130, 169]",0.02,0.0,0.07,0.04,0.01,0.03,0.83
170,"[575, 82, 130, 169]",0.05,0.0,0.1,0.02,0.05,0.06,0.73
171,"[577, 81, 128, 165]",0.11,0.0,0.03,0.01,0.07,0.01,0.76
172,"[578, 80, 129, 168]",0.03,0.0,0.05,0.05,0.02,0.06,0.8
173,"[570, 80, 132, 170]",0.01,0.0,0.01,0.01,0.01,0.0,0.95
174,"[586, 92, 122, 158]",0.06,0.0,0.03,0.02,0.04,0.02,0.83
175,"[587, 80, 122, 163]",0.03,0.0,0.05,0.0,0.03,0.03,0.85
176,"[589, 84, 124, 163]",0.07,0.0,0.31,0.0,0.05,0.12,0.44
177,"[586, 81, 128, 165]",0.05,0.0,0.09,0.02,0.03,0.03,0.79
178,"[589, 82, 129, 176]",0.04,0.0,0.1,0.08,0.02,0.07,0.68
179,"[583, 76, 132, 167]",0.02,0.0,0.15,0.04,0.02,0.06,0.7
180,"[586, 89, 126, 170]",0.16,0.0,0.1,0.01,0.05,0.09,0.6
181,"[588, 73, 124, 167]",0.04,0.0,0.3,0.01,0.02,0.14,0.51
182,"[584, 88, 122, 166]",0.05,0.0,0.06,0.01,0.02,0.01,0.85
183,"[590, 71, 123, 163]",0.01,0.0,0.31,0.0,0.01,0.51,0.15
184,"[595, 72, 127, 161]",0.05,0.0,0.1,0.0,0.02,0.02,0.81
185,"[570, 78, 129, 173]",0.05,0.0,0.14,0.03,0.23,0.01,0.54
186,"[580, 76, 135, 173]",0.03,0.0,0.02,0.01,0.02,0.0,0.91
187,"[589, 89, 129, 170]",0.01,0.0,0.0,0.5,0.0,0.01,0.48
188,"[586, 85, 128, 173]",0.06,0.0,0.06,0.07,0.02,0.06,0.72
189,"[586, 83, 127, 171]",0.07,0.0,0.09,0.03,0.04,0.05,0.73
190,"[589, 78, 126, 164]",0.03,0.0,0.04,0.02,0.03,0.02,0.87
191,"[579, 85, 137, 177]",0.07,0.0,0.07,0.01,0.06,0.01,0.78
192,"[589, 81, 131, 176]",0.11,0.0,0.23,0.01,0.02,0.36,0.27
193,"[590, 82, 128, 169]",0.05,0.0,0.07,0.01,0.02,0.05,0.79
194,"[581, 96, 130, 170]",0.07,0.0,0.04,0.01,0.03,0.0,0.85
195,"[582, 82, 126, 167]",0.02,0.0,0.01,0.01,0.01,0.0,0.95
196,"[574, 87, 136, 183]",0.15,0.0,0.13,0.01,0.03,0.06,0.61
197,"[594, 73, 124, 164]",0.03,0.0,0.09,0.01,0.02,0.02,0.83
198,"[589, 89, 124, 166]",0.07,0.0,0.06,0.03,0.02,0.02,0.81
199,"[582, 88, 127, 170]",0.09,0.0,0.12,0.02,0.04,0.04,0.69
200,"[580, 84, 130, 179]",0.1,0.0,0.06,0.02,0.02,0.04,0.76
201,"[584, 92, 126, 166]",0.06,0.0,0.02,0.08,0.03,0.01,0.79
202,"[578, 91, 124, 166]",0.03,0.0,0.01,0.04,0.01,0.0,0.91
203,"[576, 69, 126, 162]",0.01,0.0,0.05,0.0,0.02,0.02,0.9
204,"[591, 75, 124, 161]",0.02,0.0,0.11,0.0,0.02,0.05,0.79
205,"[573, 81, 130, 171]",0.02,0.0,0.03,0.01,0.01,0.01,0.92
206,"[565, 73, 132, 169]",0.05,0.0,0.16,0.03,0.03,0.08,0.66
207,"[583, 79, 138, 178]",0.15,0.0,0.46,0.02,0.04,0.08,0.24
208,"[567, 78, 132, 170]",0.02,0.0,0.01,0.02,0.01,0.01,0.93
209,"[578, 74, 126, 165]",0.0,0.0,0.01,0.48,0.0,0.02,0.49
210,"[577, 80, 131, 167]",0.03,0.0,0.04,0.0,0.02,0.05,0.86
211,"[574, 84, 130, 172]",0.06,0.0,0.02,0.02,0.03,0.0,0.87
212,"[581, 88, 132, 172]",0.05,0.0,0.01,0.03,0.03,0.0,0.88
213,"[578, 83, 130, 166]",0.09,0.0,0.02,0.02,0.05,0.0,0.82
214,"[576, 74, 130, 167]",0.03,0.0,0.05,0.01,0.03,0.06,0.82
215,"[580, 73, 130, 168]",0.1,0.0,0.03,0.01,0.06,0.02,0.79
216,"[575, 78, 138, 177]",0.03,0.0,0.03,0.04,0.02,0.01,0.87
217,"[583, 96, 127, 164]",0.18,0.0,0.04,0.01,0.06,0.01,0.68
218,"[576, 96, 132, 169]",0.13,0.0,0.02,0.02,0.03,0.01,0.8
219,"[585, 77, 128, 167]",0.02,0.0,0.08,0.02,0.01,0.04,0.83
220,"[577, 88, 135, 178]",0.17,0.0,0.11,0.02,0.04,0.04,0.62
221,"[586, 77, 128, 166]",0.01,0.0,0.04,0.01,0.02,0.01,0.91
222,"[578, 82, 129, 167]",0.05,0.0,0.05,0.01,0.02,0.02,0.85
223,"[587, 89, 123, 164]",0.09,0.0,0.07,0.02,0.03,0.02,0.77
224,"[584, 83, 123, 159]",0.02,0.0,0.01,0.01,0.01,0.0,0.94
225,"[575, 79, 133, 170]",0.04,0.0,0.02,0.06,0.02,0.03,0.83
226,"[580, 88, 130, 171]",0.1,0.0,0.04,0.01,0.04,0.01,0.8
227,"[587, 80, 129, 165]",0.04,0.0,0.18,0.04,0.06,0.01,0.68
228,"[580, 80, 130, 165]",0.04,0.0,0.12,0.02,0.02,0.2,0.6
229,"[587, 85, 125, 168]",0.05,0.0,0.05,0.02,0.03,0.02,0.83
230,"[575, 79, 127, 165]",0.04,0.0,0.02,0.01,0.04,0.01,0.89
231,"[586, 90, 122, 164]",0.06,0.0,0.11,0.04,0.02,0.3,0.47
232,"[579, 85, 128, 170]",0.05,0.0,0.02,0.01,0.03,0.0,0.89
233,"[573, 76, 132, 171]",0.03,0.0,0.01,0.02,0.02,0.0,0.92
234,"[582, 85, 125, 165]",0.03,0.0,0.02,0.01,0.02,0.01,0.92
235,"[575, 87, 133, 172]",0.15,0.0,0.02,0.03,0.04,0.02,0.73
236,"[574, 87, 134, 171]",0.04,0.0,0.01,0.04,0.02,0.0,0.88
237,"[577, 100, 128, 171]",0.27,0.0,0.05,0.04,0.05,0.02,0.57
238,"[571, 80, 135, 175]",0.16,0.0,0.07,0.05,0.04,0.03,0.66
239,"[574, 91, 130, 166]",0.09,0.0,0.02,0.01,0.05,0.0,0.82
240,"[578, 81, 129, 167]",0.05,0.0,0.05,0.01,0.04,0.05,0.8
241,"[572, 69, 135, 181]",0.12,0.0,0.25,0.06,0.14,0.01,0.41
242,"[578, 82, 130, 169]",0.04,0.0,0.11,0.0,0.03,0.03,0.79
243,"[575, 82, 132, 174]",0.07,0.0,0.03,0.0,0.03,0.03,0.83
244,"[578, 78, 129, 166]",0.06,0.0,0.05,0.0,0.01,0.06,0.81
245,"[589, 84, 124, 163]",0.08,0.0,0.3,0.0,0.05,0.04,0.53
246,"[583, 80, 127, 169]",0.05,0.0,0.17,0.01,0.03,0.13,0.62
247,"[579, 89, 125, 165]",0.06,0.0,0.02,0.01,0.03,0.0,0.87
248,"[583, 81, 125, 160]",0.03,0.0,0.02,0.01,0.02,0.01,0.92
249,"[576, 76, 133, 176]",0.03,0.0,0.06,0.34,0.01,0.05,0.52
250,"[577, 85, 130, 171]",0.15,0.0,0.08,0.0,0.05,0.06,0.66
251,"[575, 75, 134, 173]",0.03,0.0,0.04,0.01,0.05,0.03,0.83
252,"[582, 77, 134, 180]",0.05,0.0,0.16,0.01,0.02,0.06,0.69
253,"[570, 74, 138, 178]",0.05,0.0,0.31,0.02,0.02,0.24,0.36
254,"[577, 75, 131, 167]",0.03,0.0,0.24,0.0,0.03,0.29,0.4
255,"[584, 84, 125, 163]",0.03,0.0,0.12,0.0,0.02,0.1,0.73
256,"[575, 81, 132, 178]",0.28,0.0,0.11,0.01,0.02,0.29,0.29
257,"[584, 84, 125, 163]",0.02,0.0,0.03,0.01,0.01,0.02,0.92
258,"[573, 79, 134, 174]",0.05,0.0,0.03,0.01,0.03,0.01,0.86
259,"[576, 80, 132, 172]",0.02,0.0,0.04,0.46,0.01,0.04,0.43
260,"[573, 80, 131, 168]",0.04,0.0,0.04,0.08,0.01,0.06,0.77
261,"[576, 75, 131, 165]",0.04,0.0,0.1,0.02,0.02,0.08,0.73
262,"[577, 81, 132, 166]",0.01,0.0,0.01,0.06,0.01,0.0,0.92
263,"[577, 82, 129, 165]",0.03,0.0,0.01,0.05,0.02,0.01,0.88
264,"[578, 82, 127, 164]",0.02,0.0,0.03,0.0,0.02,0.02,0.9
265,"[574, 79, 130, 165]",0.04,0.0,0.03,0.02,0.07,0.02,0.82
266,"[567, 74, 133, 170]",0.03,0.0,0.03,0.03,0.02,0.02,0.87
267,"[230, 289, 83, 93]",0.25,0.0,0.05,0.04,0.52,0.0,0.14
268,"[681, 186, 24, 29]",0.32,0.0,0.08,0.11,0.39,0.07,0.03
269,"[579, 141, 74, 89]",0.0,0.0,0.0,0.98,0.0,0.0,0.02
270,"[639, 133, 72, 96]",0.03,0.0,0.01,0.6,0.02,0.0,0.34
271,"[783, 122, 76, 101]",0.14,0.0,0.05,0.36,0.15,0.03,0.27
272,"[736, 110, 72, 94]",0.0,0.0,0.0,1.0,0.0,0.0,0.0
273,"[766, 98, 81, 104]",0.0,0.0,0.0,1.0,0.0,0.0,0.0
274,"[659, 162, 133, 176]",0.0,0.0,0.0,0.94,0.0,0.0,0.06
275,"[710, 138, 131, 160]",0.0,0.0,0.0,0.97,0.0,0.0,0.02
276,"[814, 129, 130, 159]",0.11,0.0,0.07,0.23,0.31,0.0,0.27
277,"[825, 550, 21, 26]",0.06,0.0,0.35,0.09,0.47,0.01,0.02
278,"[997, 359, 34, 45]",0.46,0.0,0.06,0.06,0.33,0.06,0.02
279,"[893, 537, 21, 29]",0.13,0.0,0.03,0.38,0.37,0.01,0.09
280,"[682, 153, 109, 153]",0.07,0.0,0.25,0.19,0.31,0.0,0.17
281,"[756, 139, 112, 168]",0.12,0.0,0.01,0.81,0.03,0.0,0.03
282,"[633, 140, 118, 171]",0.02,0.0,0.0,0.96,0.0,0.0,0.02
283,"[620, 314, 59, 72]",0.13,0.0,0.05,0.07,0.26,0.0,0.48
284,"[594, 335, 58, 70]",0.26,0.0,0.01,0.12,0.21,0.0,0.4
285,"[580, 326, 60, 75]",0.32,0.0,0.02,0.04,0.25,0.01,0.36
286,"[598, 319, 57, 74]",0.34,0.0,0.01,0.07,0.14,0.01,0.43
287,"[597, 319, 56, 73]",0.0,0.0,0.0,0.98,0.0,0.0,0.02
