,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5
27,"[568, 197, 124, 146]",0.15,0.0,0.01,0.0,0.05,0.0,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"[568, 196, 124, 148]",0.19,0.0,0.02,0.0,0.04,0.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"[570, 192, 124, 150]",0.18,0.0,0.01,0.0,0.04,0.0,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"[575, 192, 122, 150]",0.05,0.0,0.01,0.0,0.03,0.0,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"[589, 193, 123, 150]",0.06,0.0,0.07,0.06,0.1,0.01,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"[595, 196, 121, 148]",0.04,0.0,0.05,0.01,0.09,0.0,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"[599, 199, 117, 147]",0.07,0.0,0.03,0.03,0.05,0.01,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"[600, 197, 118, 149]",0.08,0.0,0.03,0.01,0.09,0.01,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"[588, 199, 119, 146]",0.03,0.0,0.02,0.03,0.05,0.0,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"[595, 197, 121, 153]",0.04,0.0,0.01,0.06,0.1,0.0,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,"[590, 200, 119, 147]",0.02,0.0,0.01,0.03,0.05,0.0,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"[584, 199, 120, 147]",0.03,0.0,0.01,0.03,0.04,0.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"[586, 196, 120, 147]",0.18,0.0,0.02,0.02,0.04,0.01,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"[582, 197, 124, 151]",0.05,0.0,0.0,0.04,0.02,0.0,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"[584, 200, 121, 145]",0.11,0.0,0.01,0.02,0.05,0.01,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"[574, 191, 124, 154]",0.02,0.0,0.0,0.04,0.02,0.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"[578, 196, 123, 151]",0.02,0.0,0.01,0.04,0.02,0.0,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"[575, 195, 125, 147]",0.24,0.0,0.03,0.02,0.05,0.01,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"[575, 198, 122, 147]",0.16,0.0,0.02,0.06,0.06,0.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"[580, 195, 121, 150]",0.03,0.0,0.0,0.05,0.03,0.0,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"[580, 194, 122, 149]",0.04,0.0,0.01,0.04,0.03,0.0,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"[580, 199, 121, 142]",0.25,0.0,0.03,0.01,0.05,0.0,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"[591, 201, 117, 146]",0.04,0.0,0.01,0.02,0.04,0.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"[591, 203, 119, 146]",0.06,0.0,0.03,0.01,0.07,0.0,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"[593, 194, 125, 158]",0.03,0.0,0.02,0.02,0.1,0.0,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"[593, 183, 125, 154]",0.08,0.0,0.01,0.11,0.05,0.0,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
