,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2
81,"[366, 74, 195, 274]",0.45,0.0,0.27,0.02,0.06,0.03,0.17,,,,,,,,,,,,,,,,
82,"[355, 84, 198, 264]",0.09,0.0,0.07,0.05,0.02,0.02,0.74,"[455, 412, 40, 55]",0.23,0.0,0.22,0.02,0.39,0.05,0.08,,,,,,,,
83,"[356, 92, 189, 251]",0.15,0.0,0.13,0.04,0.05,0.04,0.59,,,,,,,,,,,,,,,,
84,"[346, 89, 192, 245]",0.14,0.0,0.14,0.04,0.05,0.04,0.59,"[449, 414, 40, 54]",0.33,0.0,0.3,0.02,0.24,0.05,0.06,,,,,,,,
85,"[345, 93, 196, 255]",0.27,0.0,0.16,0.01,0.04,0.07,0.44,"[450, 418, 39, 53]",0.56,0.0,0.14,0.01,0.2,0.02,0.07,,,,,,,,
86,"[450, 413, 39, 54]",0.36,0.0,0.21,0.02,0.24,0.09,0.08,,,,,,,,,,,,,,,,
87,"[326, 89, 201, 259]",0.08,0.0,0.14,0.18,0.04,0.15,0.41,,,,,,,,,,,,,,,,
88,"[358, 72, 196, 266]",0.36,0.0,0.12,0.04,0.06,0.03,0.38,"[456, 411, 38, 54]",0.35,0.0,0.2,0.02,0.28,0.06,0.09,,,,,,,,
89,"[450, 413, 40, 55]",0.31,0.0,0.27,0.01,0.32,0.03,0.05,,,,,,,,,,,,,,,,
90,"[454, 410, 37, 54]",0.3,0.0,0.23,0.03,0.37,0.02,0.06,,,,,,,,,,,,,,,,
91,"[329, 90, 201, 260]",0.07,0.0,0.09,0.06,0.03,0.04,0.72,,,,,,,,,,,,,,,,
92,"[353, 95, 189, 255]",0.19,0.0,0.21,0.26,0.05,0.08,0.22,,,,,,,,,,,,,,,,
93,"[321, 83, 200, 266]",0.14,0.0,0.27,0.05,0.02,0.1,0.42,"[649, 395, 120, 158]",0.03,0.0,0.24,0.15,0.11,0.02,0.45,,,,,,,,
94,"[332, 85, 192, 255]",0.42,0.0,0.11,0.07,0.06,0.01,0.32,"[427, 405, 36, 54]",0.18,0.0,0.33,0.01,0.43,0.03,0.03,"[631, 527, 131, 172]",0.16,0.0,0.16,0.01,0.28,0.29,0.1
95,"[383, 92, 180, 243]",0.08,0.0,0.04,0.06,0.12,0.01,0.69,,,,,,,,,,,,,,,,
96,"[353, 73, 208, 278]",0.23,0.0,0.18,0.02,0.06,0.03,0.48,,,,,,,,,,,,,,,,
97,"[357, 79, 193, 258]",0.21,0.0,0.18,0.05,0.03,0.05,0.48,,,,,,,,,,,,,,,,
98,"[357, 81, 197, 261]",0.11,0.0,0.05,0.11,0.03,0.01,0.69,"[454, 417, 40, 54]",0.19,0.0,0.1,0.09,0.59,0.01,0.04,,,,,,,,
99,"[354, 78, 194, 254]",0.3,0.0,0.15,0.07,0.06,0.05,0.37,"[453, 418, 40, 51]",0.27,0.0,0.13,0.02,0.45,0.07,0.07,,,,,,,,
100,"[395, 92, 188, 260]",0.19,0.0,0.1,0.03,0.26,0.01,0.4,,,,,,,,,,,,,,,,
101,"[423, 89, 182, 245]",0.08,0.0,0.08,0.02,0.09,0.03,0.7,"[476, 412, 39, 55]",0.23,0.0,0.24,0.02,0.39,0.07,0.06,,,,,,,,
102,"[418, 83, 197, 264]",0.07,0.0,0.07,0.1,0.06,0.05,0.65,,,,,,,,,,,,,,,,
103,"[428, 89, 181, 246]",0.08,0.0,0.1,0.28,0.06,0.03,0.44,,,,,,,,,,,,,,,,
104,"[332, 92, 198, 255]",0.12,0.0,0.18,0.07,0.03,0.12,0.48,,,,,,,,,,,,,,,,
105,"[362, 78, 198, 252]",0.04,0.0,0.12,0.08,0.01,0.06,0.68,,,,,,,,,,,,,,,,
106,"[383, 92, 185, 252]",0.29,0.0,0.12,0.06,0.06,0.04,0.42,,,,,,,,,,,,,,,,
107,"[335, 84, 194, 248]",0.06,0.0,0.06,0.13,0.05,0.07,0.63,,,,,,,,,,,,,,,,
108,"[388, 78, 186, 265]",0.19,0.0,0.15,0.02,0.07,0.01,0.56,"[465, 410, 38, 54]",0.27,0.0,0.24,0.02,0.34,0.03,0.1,,,,,,,,
109,"[459, 419, 37, 51]",0.44,0.0,0.16,0.02,0.24,0.06,0.08,,,,,,,,,,,,,,,,
110,"[320, 113, 187, 244]",0.05,0.0,0.12,0.01,0.06,0.03,0.74,,,,,,,,,,,,,,,,
111,"[366, 83, 195, 259]",0.12,0.0,0.13,0.01,0.04,0.03,0.67,,,,,,,,,,,,,,,,
112,"[337, 87, 198, 261]",0.05,0.0,0.15,0.06,0.03,0.04,0.67,,,,,,,,,,,,,,,,
113,"[395, 95, 192, 253]",0.05,0.0,0.13,0.12,0.02,0.04,0.63,"[491, 344, 117, 172]",0.11,0.02,0.17,0.34,0.26,0.05,0.05,,,,,,,,
114,"[408, 104, 184, 245]",0.04,0.0,0.05,0.49,0.01,0.03,0.38,,,,,,,,,,,,,,,,
115,"[410, 107, 187, 249]",0.05,0.0,0.1,0.14,0.03,0.02,0.67,"[486, 426, 39, 50]",0.34,0.0,0.09,0.05,0.32,0.04,0.16,,,,,,,,
116,"[379, 90, 192, 256]",0.08,0.0,0.14,0.14,0.04,0.03,0.55,,,,,,,,,,,,,,,,
117,"[363, 87, 196, 258]",0.15,0.0,0.27,0.08,0.04,0.09,0.37,,,,,,,,,,,,,,,,
118,"[357, 75, 201, 268]",0.08,0.0,0.09,0.09,0.03,0.07,0.64,"[466, 413, 37, 53]",0.22,0.0,0.16,0.02,0.46,0.06,0.08,,,,,,,,
