,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7,box8,angry8,disgust8,fear8,happy8,sad8,surprise8,neutral8,box9,angry9,disgust9,fear9,happy9,sad9,surprise9,neutral9
113,"[693, 147, 142, 197]",0.41,0.0,0.24,0.02,0.1,0.03,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,"[629, 133, 148, 193]",0.21,0.0,0.13,0.1,0.05,0.02,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,"[645, 124, 148, 194]",0.09,0.0,0.26,0.04,0.03,0.37,0.21,"[245, 574, 25, 29]",0.05,0.0,0.01,0.04,0.66,0.01,0.23,"[202, 618, 23, 27]",0.11,0.0,0.02,0.29,0.29,0.0,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,"[637, 121, 150, 212]",0.2,0.0,0.31,0.06,0.1,0.03,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,"[651, 127, 153, 216]",0.15,0.0,0.31,0.03,0.04,0.08,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,"[622, 126, 153, 209]",0.06,0.0,0.69,0.13,0.04,0.05,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,"[680, 124, 153, 213]",0.16,0.0,0.17,0.14,0.02,0.02,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,"[655, 130, 149, 204]",0.1,0.0,0.08,0.33,0.04,0.01,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,"[667, 113, 146, 223]",0.57,0.0,0.16,0.03,0.05,0.02,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,"[656, 132, 144, 200]",0.24,0.0,0.09,0.04,0.07,0.02,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,"[635, 122, 153, 197]",0.13,0.0,0.25,0.03,0.04,0.09,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,"[619, 131, 154, 194]",0.16,0.01,0.37,0.0,0.33,0.02,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,"[672, 119, 151, 217]",0.23,0.0,0.11,0.02,0.02,0.01,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,"[664, 131, 147, 211]",0.11,0.0,0.32,0.02,0.04,0.02,0.49,"[244, 573, 25, 30]",0.03,0.0,0.01,0.04,0.79,0.01,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,"[624, 117, 152, 190]",0.11,0.0,0.44,0.0,0.25,0.12,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,"[676, 118, 144, 208]",0.15,0.0,0.16,0.02,0.05,0.21,0.41,"[248, 574, 24, 29]",0.03,0.0,0.01,0.03,0.87,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,"[685, 111, 143, 205]",0.35,0.0,0.16,0.08,0.04,0.06,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,"[522, 372, 22, 29]",0.6,0.0,0.06,0.02,0.2,0.0,0.12,"[1160, 368, 21, 29]",0.09,0.0,0.13,0.11,0.44,0.03,0.19,"[886, 368, 25, 31]",0.21,0.04,0.07,0.19,0.34,0.01,0.16,"[765, 366, 20, 27]",0.5,0.0,0.05,0.06,0.09,0.06,0.24,"[32, 372, 27, 33]",0.74,0.0,0.02,0.03,0.06,0.0,0.15,"[161, 367, 21, 27]",0.52,0.0,0.09,0.0,0.37,0.0,0.01,"[277, 372, 22, 29]",0.17,0.01,0.18,0.15,0.45,0.01,0.03,"[408, 372, 26, 33]",0.12,0.0,0.06,0.07,0.57,0.01,0.18,"[653, 361, 25, 36]",0.34,0.0,0.17,0.02,0.33,0.03,0.11,"[1015, 364, 27, 34]",0.49,0.0,0.11,0.05,0.29,0.0,0.05
131,"[523, 372, 21, 29]",0.44,0.0,0.1,0.04,0.26,0.01,0.13,"[764, 366, 20, 26]",0.21,0.0,0.05,0.06,0.17,0.15,0.36,"[32, 373, 27, 32]",0.87,0.0,0.02,0.02,0.05,0.0,0.04,"[407, 373, 27, 33]",0.09,0.0,0.1,0.04,0.64,0.01,0.12,"[886, 370, 25, 30]",0.18,0.0,0.05,0.09,0.59,0.01,0.08,"[1151, 365, 19, 30]",0.22,0.01,0.06,0.06,0.49,0.0,0.17,"[276, 372, 23, 28]",0.17,0.0,0.15,0.2,0.46,0.0,0.03,"[650, 363, 24, 32]",0.29,0.0,0.49,0.01,0.16,0.01,0.04,"[161, 371, 22, 27]",0.54,0.01,0.1,0.01,0.32,0.01,0.01,,,,,,,,
132,"[522, 371, 22, 30]",0.28,0.0,0.08,0.02,0.33,0.02,0.27,"[765, 365, 21, 28]",0.36,0.0,0.05,0.07,0.11,0.03,0.38,"[1160, 372, 20, 27]",0.23,0.01,0.18,0.21,0.17,0.08,0.12,"[884, 371, 25, 31]",0.44,0.01,0.09,0.07,0.32,0.01,0.06,"[276, 371, 24, 30]",0.36,0.0,0.13,0.12,0.34,0.0,0.05,"[407, 373, 26, 33]",0.11,0.0,0.11,0.03,0.61,0.03,0.1,"[31, 373, 28, 32]",0.78,0.0,0.03,0.02,0.08,0.0,0.09,"[163, 372, 21, 25]",0.38,0.0,0.15,0.01,0.43,0.03,0.01,"[1014, 367, 24, 29]",0.67,0.0,0.06,0.04,0.17,0.0,0.06,"[648, 360, 23, 28]",0.32,0.0,0.16,0.01,0.12,0.03,0.36
