,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1,box2,angry2,disgust2,fear2,happy2,sad2,surprise2,neutral2,box3,angry3,disgust3,fear3,happy3,sad3,surprise3,neutral3,box4,angry4,disgust4,fear4,happy4,sad4,surprise4,neutral4,box5,angry5,disgust5,fear5,happy5,sad5,surprise5,neutral5,box6,angry6,disgust6,fear6,happy6,sad6,surprise6,neutral6,box7,angry7,disgust7,fear7,happy7,sad7,surprise7,neutral7,box8,angry8,disgust8,fear8,happy8,sad8,surprise8,neutral8,box9,angry9,disgust9,fear9,happy9,sad9,surprise9,neutral9,box10,angry10,disgust10,fear10,happy10,sad10,surprise10,neutral10,box11,angry11,disgust11,fear11,happy11,sad11,surprise11,neutral11
200,"[561, 129, 117, 149]",0.42,0.0,0.04,0.0,0.16,0.01,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,"[567, 115, 123, 161]",0.07,0.0,0.3,0.01,0.22,0.0,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,"[531, 111, 124, 159]",0.18,0.0,0.19,0.37,0.23,0.0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,"[524, 111, 123, 161]",0.26,0.0,0.33,0.01,0.21,0.07,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,"[608, 105, 125, 160]",0.14,0.0,0.3,0.0,0.07,0.03,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,"[653, 104, 122, 151]",0.25,0.0,0.11,0.0,0.1,0.01,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,"[893, 164, 35, 44]",0.32,0.0,0.01,0.02,0.28,0.0,0.37,"[973, 162, 89, 114]",0.12,0.0,0.02,0.21,0.05,0.0,0.59,"[118, 103, 17, 22]",0.01,0.01,0.03,0.09,0.38,0.01,0.47,"[722, 161, 32, 42]",0.47,0.0,0.06,0.02,0.26,0.01,0.18,"[1119, 197, 62, 78]",0.12,0.0,0.1,0.03,0.36,0.0,0.38,"[636, 176, 41, 52]",0.71,0.0,0.02,0.02,0.11,0.02,0.12,"[778, 179, 39, 54]",0.41,0.0,0.04,0.0,0.07,0.0,0.47,"[933, 178, 46, 62]",0.25,0.0,0.28,0.07,0.22,0.02,0.15,"[870, 157, 25, 32]",0.23,0.0,0.12,0.16,0.4,0.01,0.08,"[408, 152, 42, 56]",0.64,0.0,0.07,0.03,0.18,0.0,0.09,"[1203, 195, 48, 59]",0.33,0.0,0.31,0.01,0.29,0.01,0.05,"[743, 195, 41, 58]",0.15,0.0,0.04,0.39,0.22,0.01,0.19
207,"[532, 113, 124, 157]",0.48,0.0,0.08,0.27,0.04,0.0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,"[524, 122, 124, 151]",0.55,0.0,0.04,0.27,0.06,0.0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,"[559, 123, 125, 160]",0.29,0.0,0.14,0.04,0.12,0.03,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,"[621, 113, 128, 165]",0.27,0.0,0.11,0.01,0.09,0.01,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,"[529, 131, 124, 165]",0.31,0.0,0.45,0.01,0.18,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,"[545, 116, 117, 148]",0.3,0.0,0.12,0.0,0.13,0.01,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,"[118, 375, 75, 95]",0.32,0.0,0.44,0.09,0.08,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,"[492, 121, 123, 159]",0.2,0.0,0.02,0.0,0.08,0.0,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,"[479, 139, 125, 159]",0.24,0.0,0.63,0.0,0.1,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,"[582, 130, 119, 158]",0.18,0.0,0.04,0.01,0.18,0.0,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,"[493, 145, 121, 149]",0.17,0.43,0.1,0.01,0.24,0.0,0.05,"[259, 381, 73, 87]",0.35,0.0,0.3,0.2,0.09,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,"[609, 155, 115, 148]",0.09,0.0,0.06,0.09,0.03,0.0,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,"[1177, 362, 109, 157]",0.06,0.0,0.03,0.07,0.03,0.02,0.79,"[552, 93, 125, 153]",0.15,0.0,0.15,0.0,0.1,0.01,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,"[1179, 362, 107, 158]",0.04,0.0,0.05,0.22,0.03,0.01,0.65,"[533, 127, 124, 157]",0.1,0.0,0.03,0.02,0.18,0.0,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
