,box0,angry0,disgust0,fear0,happy0,sad0,surprise0,neutral0,box1,angry1,disgust1,fear1,happy1,sad1,surprise1,neutral1
96,"[634, 93, 228, 296]",0.21,0.0,0.35,0.0,0.14,0.04,0.26,"[618, 541, 39, 46]",0.18,0.01,0.15,0.33,0.12,0.03,0.19
97,"[584, 94, 221, 272]",0.11,0.0,0.22,0.01,0.23,0.0,0.43,,,,,,,,
98,"[540, 94, 225, 277]",0.05,0.01,0.04,0.01,0.08,0.0,0.81,,,,,,,,
99,"[527, 143, 231, 298]",0.29,0.66,0.01,0.0,0.05,0.0,0.0,,,,,,,,
100,"[530, 156, 243, 303]",0.08,0.0,0.29,0.05,0.17,0.01,0.4,,,,,,,,
101,"[544, 76, 228, 281]",0.19,0.0,0.21,0.0,0.02,0.02,0.55,,,,,,,,
102,"[546, 82, 210, 269]",0.3,0.0,0.28,0.0,0.04,0.11,0.27,,,,,,,,
103,"[554, 97, 218, 281]",0.03,0.0,0.03,0.86,0.0,0.08,0.0,,,,,,,,
104,"[548, 106, 221, 280]",0.45,0.09,0.23,0.02,0.09,0.02,0.11,,,,,,,,
105,"[497, 102, 227, 287]",0.43,0.0,0.12,0.01,0.19,0.02,0.22,,,,,,,,
106,"[530, 119, 235, 303]",0.27,0.01,0.24,0.29,0.06,0.07,0.07,,,,,,,,
107,"[552, 86, 216, 281]",0.38,0.1,0.06,0.01,0.2,0.0,0.25,,,,,,,,
108,"[548, 96, 218, 273]",0.13,0.0,0.08,0.0,0.04,0.0,0.74,,,,,,,,
109,"[374, 93, 338, 430]",0.07,0.0,0.1,0.11,0.04,0.07,0.61,,,,,,,,
110,"[373, 51, 336, 411]",0.0,0.0,0.0,0.31,0.0,0.06,0.63,,,,,,,,
111,"[351, 151, 379, 499]",0.13,0.01,0.63,0.12,0.09,0.02,0.0,,,,,,,,
112,"[404, 151, 352, 469]",0.27,0.16,0.03,0.0,0.09,0.0,0.45,,,,,,,,
113,"[426, 121, 345, 456]",0.2,0.0,0.07,0.0,0.15,0.01,0.56,,,,,,,,
114,"[456, 119, 337, 442]",0.18,0.11,0.05,0.01,0.22,0.01,0.42,,,,,,,,
115,"[470, 126, 345, 460]",0.33,0.14,0.17,0.0,0.23,0.01,0.12,,,,,,,,
116,"[481, 83, 346, 439]",0.2,0.01,0.06,0.0,0.05,0.0,0.67,,,,,,,,
117,"[459, 153, 347, 455]",0.55,0.29,0.04,0.02,0.05,0.0,0.04,,,,,,,,
118,"[445, 111, 348, 457]",0.32,0.31,0.04,0.09,0.08,0.0,0.15,,,,,,,,
119,"[432, 113, 331, 437]",0.27,0.04,0.02,0.02,0.05,0.0,0.61,,,,,,,,
120,"[436, 124, 338, 446]",0.15,0.16,0.02,0.0,0.14,0.0,0.53,,,,,,,,
121,"[439, 123, 345, 459]",0.11,0.74,0.02,0.0,0.06,0.0,0.06,,,,,,,,
122,"[331, 120, 350, 455]",0.55,0.35,0.06,0.0,0.03,0.0,0.01,,,,,,,,
123,"[415, 183, 339, 438]",0.72,0.07,0.03,0.0,0.06,0.01,0.11,,,,,,,,
124,"[394, 173, 338, 433]",0.33,0.06,0.03,0.0,0.14,0.0,0.44,,,,,,,,
125,"[391, 144, 336, 435]",0.17,0.11,0.03,0.01,0.08,0.01,0.6,,,,,,,,
126,"[386, 138, 340, 448]",0.24,0.0,0.22,0.01,0.09,0.13,0.32,,,,,,,,
127,"[387, 115, 346, 469]",0.07,0.0,0.2,0.06,0.03,0.24,0.41,,,,,,,,
128,"[371, 138, 346, 468]",0.58,0.0,0.16,0.01,0.08,0.07,0.1,,,,,,,,
129,"[376, 147, 360, 470]",0.17,0.0,0.03,0.01,0.03,0.01,0.74,,,,,,,,
130,"[384, 148, 347, 444]",0.14,0.03,0.06,0.01,0.06,0.0,0.7,,,,,,,,
131,"[402, 123, 344, 445]",0.28,0.02,0.04,0.0,0.14,0.01,0.51,,,,,,,,
132,"[568, 96, 212, 262]",0.26,0.03,0.15,0.0,0.12,0.0,0.43,,,,,,,,
133,"[570, 108, 216, 273]",0.07,0.0,0.11,0.03,0.06,0.06,0.66,,,,,,,,
134,"[554, 115, 223, 281]",0.05,0.84,0.02,0.0,0.08,0.0,0.01,,,,,,,,
135,"[583, 84, 214, 273]",0.14,0.01,0.15,0.0,0.05,0.02,0.63,,,,,,,,
136,"[581, 91, 219, 283]",0.2,0.0,0.1,0.0,0.06,0.01,0.64,,,,,,,,
137,"[589, 44, 198, 227]",0.01,0.0,0.11,0.01,0.0,0.79,0.08,,,,,,,,
138,"[586, 81, 224, 294]",0.06,0.0,0.02,0.04,0.03,0.01,0.85,,,,,,,,
139,"[587, 99, 222, 291]",0.06,0.01,0.0,0.0,0.04,0.0,0.89,,,,,,,,
140,"[596, 99, 218, 291]",0.07,0.0,0.0,0.0,0.1,0.0,0.82,,,,,,,,
141,"[576, 104, 221, 295]",0.12,0.27,0.02,0.04,0.05,0.0,0.51,,,,,,,,
142,"[602, 142, 220, 287]",0.07,0.0,0.01,0.05,0.02,0.0,0.85,,,,,,,,
143,"[602, 112, 213, 281]",0.08,0.0,0.04,0.01,0.08,0.01,0.79,,,,,,,,
144,"[565, 110, 235, 295]",0.03,0.0,0.14,0.0,0.04,0.02,0.78,,,,,,,,
145,"[571, 95, 222, 282]",0.25,0.16,0.03,0.14,0.03,0.0,0.4,,,,,,,,
146,"[541, 80, 214, 276]",0.23,0.01,0.08,0.0,0.12,0.0,0.56,,,,,,,,
147,"[604, 72, 210, 269]",0.14,0.0,0.08,0.0,0.03,0.01,0.74,,,,,,,,
