,id,populism,values,populism_values,psize,psize_seat,anger,disgust,fear,happy,sad,surprise,neutral,negative,populism_2,lr_2
46,50,1.0,1.0,1.0,3.0,3.0,0.2578438661710037,0.0017843866171003717,0.07312267657992566,0.018401486988847582,0.10063197026022305,0.06446096654275092,0.48282527881040893,0.4333828996282528,0,0
47,51,1.0,1.0,1.0,3.0,3.0,0.5212956810631229,0.0005647840531561461,0.12262458471760798,0.004352159468438538,0.10262458471760798,0.009401993355481728,0.23784053156146182,0.7471096345514949,0,0
48,52,1.0,1.0,1.0,3.0,3.0,0.34397163120567376,0.0012411347517730495,0.18989361702127658,0.017375886524822696,0.20748226950354612,0.029574468085106383,0.20882978723404255,0.7425886524822695,0,0
49,53,1.0,1.0,1.0,3.0,3.0,0.39771241830065357,0.000784313725490196,0.16071895424836602,0.0017320261437908497,0.24696078431372548,0.019705882352941177,0.17088235294117649,0.8061764705882353,0,0
50,54,1.0,1.0,1.0,3.0,3.0,0.2832740213523132,0.00021352313167259787,0.11523131672597865,0.04569395017793595,0.1793950177935943,0.031387900355871884,0.34359430604982205,0.5781138790035587,0,0
51,55,2.0,4.0,2.0,3.0,3.0,0.49393103448275866,0.020655172413793103,0.18444827586206897,0.01206896551724138,0.2528620689655172,0.010896551724137931,0.02320689655172414,0.951896551724138,0,1
52,56,2.0,4.0,2.0,3.0,3.0,0.6553465346534654,0.019851485148514852,0.056831683168316834,0.04148514851485149,0.12732673267326733,0.008267326732673268,0.08821782178217821,0.8593564356435645,0,1
53,57,2.0,4.0,2.0,3.0,3.0,0.5883333333333334,0.0036538461538461542,0.0816025641025641,0.08352564102564101,0.14474358974358975,0.015192307692307692,0.0816025641025641,0.8183333333333334,0,1
54,58,2.0,4.0,2.0,3.0,3.0,0.38371541501976286,0.004110671936758893,0.1341106719367589,0.08553359683794466,0.2097628458498024,0.01533596837944664,0.1658893280632411,0.731699604743083,0,1
55,59,2.0,4.0,2.0,3.0,3.0,0.21981949458483754,0.0019494584837545128,0.15588447653429602,0.06501805054151626,0.20891696750902525,0.02703971119133574,0.31942238267148015,0.5865703971119133,0,1
56,60,4.0,1.0,3.0,3.0,3.0,0.23993333333333336,0.0006333333333333333,0.075,0.04626666666666667,0.3447,0.017566666666666668,0.27376666666666666,0.6602666666666668,1,0
