id,populism,values,populism_values,psize,psize_seat,anger,disgust,fear,happy,sad,surprise,neutral,negative,populism_2,lr_2
82,1,1,1,3,3,0.208714555765595,0.000113421550094518,0.0526275992438563,0.0181663516068053,0.168544423440454,0.00338374291115312,0.546672967863894,0.43,0,0
83,1,1,1,3,3,0.0853846153846154,0,0.0373076923076923,0.0882692307692308,0.0875,0.00519230769230769,0.694615384615385,0.210192307692308,0,0
84,1,1,1,3,3,0.175582191780822,0.00077054794520548,0.0592808219178082,0.0626541095890411,0.148133561643836,0.0023458904109589,0.549657534246575,0.383767123287671,0,0
85,2,1,1,3,3,0.393235294117647,0.00426470588235294,0.140441176470588,0.0357352941176471,0.258529411764706,0.000882352941176471,0.164411764705882,0.796470588235294,0,0
86,2,1,1,3,3,0.130361757105943,2.58397932816537E-05,0.058733850129199,0.334780361757106,0.0779328165374677,0.00204134366925065,0.393979328165375,0.267054263565891,0,0
87,2,1,1,3,3,0.18014598540146,0.00562043795620438,0.126861313868613,0.225547445255474,0.145255474452555,0.059051094890511,0.257591240875912,0.457883211678832,0,0
88,2,1,1,3,3,0.311546610169492,0.00201271186440678,0.155169491525424,0.0690677966101695,0.107436440677966,0.0178813559322034,0.335699152542373,0.576165254237288,0,0
89,2,1,1,3,3,0.0785117493472585,5.22193211488251E-05,0.217415143603133,0.266971279373368,0.0914621409921671,0.0475456919060052,0.297780678851175,0.387441253263708,0,0
90,2,1,1,3,3,0.0729166666666667,0.000104166666666667,0.252604166666667,0.336875,0.0322916666666667,0.159791666666667,0.143645833333333,0.357916666666667,0,0
91,2,1,1,3,3,0.104210526315789,0.00298245614035088,0.32719298245614,0.166491228070175,0.0917543859649123,0.168245614035088,0.139298245614035,0.526140350877193,0,0
92,2,1,1,3,3,0.149497645211931,6.27943485086342E-05,0.31105180533752,0.196813186813187,0.0446467817896389,0.112182103610675,0.185384615384615,0.505259026687598,0,0
93,2,1,1,3,3,0.189120458891013,0.000745697896749522,0.246481835564054,0.0635946462715105,0.237667304015296,0.0309560229445507,0.229923518164436,0.674015296367113,0,0
94,2,1,1,3,3,0.247277777777778,0.000388888888888889,0.255166666666667,0.0852592592592593,0.101851851851852,0.0857222222222222,0.223296296296296,0.604685185185185,0,0
95,4,4,4,3,3,0.638655462184874,0.00394957983193277,0.118487394957983,0.00117647058823529,0.203697478991597,0.00260504201680672,0.0294957983193277,0.964789915966386,1,1
96,4,4,4,3,3,0.278260869565217,0.0011304347826087,0.071304347826087,0.0188695652173913,0.573478260869565,0.00226086956521739,0.0535652173913044,0.924173913043478,1,1
97,4,4,4,3,3,0.438476702508961,8.96057347670251E-05,0.0732616487455197,0.0179032258064516,0.411845878136201,0.00559139784946237,0.0507347670250896,0.923673835125448,1,1
98,4,4,4,3,3,0.61974025974026,0.00155844155844156,0.0685714285714286,0.0051948051948052,0.245064935064935,0.00337662337662338,0.0533766233766234,0.934935064935065,1,1
99,4,4,4,3,3,0.331291666666667,0.00333333333333333,0.166583333333333,0.00575,0.385208333333333,0.00979166666666667,0.0954166666666667,0.886416666666667,1,1
100,4,4,4,,,0.441476635514019,0.000785046728971963,0.111308411214953,0.00811214953271028,0.256242990654206,0.00489719626168224,0.174859813084112,0.80981308411215,1,1
101,4,4,4,,,0.259581673306773,0.00157370517928287,0.0968326693227092,0.0152589641434263,0.206772908366534,0.0282270916334661,0.390478087649402,0.564760956175299,1,1
102,4,4,4,,,0.0929411764705882,0.000588235294117647,0.0369117647058824,0.0756372549019608,0.200588235294118,0.00705882352941176,0.584950980392157,0.331029411764706,1,1
104,4,4,4,,,0.231468531468531,0.000699300699300699,0.054965034965035,0.133986013986014,0.183216783216783,0.00412587412587413,0.390699300699301,0.47034965034965,1,1
105,2,4,2,,,0.097992125984252,0.000984251968503937,0.0933464566929134,0.377086614173228,0.101141732283465,0.151614173228346,0.176771653543307,0.293464566929134,0,1
106,2,4,2,,,0.0732075471698113,0.000817610062893082,0.0432704402515723,0.27811320754717,0.0613207547169811,0.0811949685534591,0.461509433962264,0.178616352201258,0,1
107,2,4,2,,,0.169701492537313,0.000199004975124378,0.0493034825870647,0.324179104477612,0.0665671641791045,0.0578606965174129,0.331592039800995,0.285771144278607,0,1
108,2,4,2,,,0.0810074626865672,3.73134328358209E-05,0.0524253731343284,0.334141791044776,0.291007462686567,0.0402985074626866,0.200708955223881,0.424477611940298,0,1
109,2,4,2,,,0.200421052631579,0.000947368421052632,0.063578947368421,0.171368421052632,0.41778947368421,0.0205263157894737,0.122947368421053,0.682736842105263,0,1
110,2,1,1,,,0.163698630136986,0.0235616438356164,0.0983561643835616,0.0649315068493151,0.0963013698630137,0.0195890410958904,0.533424657534247,0.381917808219178,0,0
111,2,1,1,,,0.194642857142857,0.00892857142857143,0.115,0.0919642857142857,0.121428571428571,0.0330357142857143,0.434285714285714,0.44,0,0
112,2,1,1,,,0.236279069767442,0.00279069767441861,0.141511627906977,0.0690697674418605,0.136744186046512,0.0302325581395349,0.382441860465116,0.517325581395349,0,0
113,2,1,1,,,0.479408602150538,0.00132616487455197,0.0482258064516129,0.017831541218638,0.124820788530466,0.000591397849462366,0.326487455197133,0.653781362007168,0,0
114,2,1,1,,,0.337431693989071,0.00136612021857923,0.22672131147541,0.0181420765027322,0.221311475409836,0.00519125683060109,0.187868852459016,0.786830601092896,0,0
115,4,4,4,,,0.180434782608696,0,0.145869565217391,0.0676086956521739,0.146304347826087,0.0815217391304348,0.375434782608696,0.472608695652174,1,1
116,4,4,4,,,0.185076923076923,0.00276923076923077,0.134,0.0156923076923077,0.385538461538462,0.0181538461538462,0.258153846153846,0.707384615384615,1,1
117,4,4,4,,,0.161617250673854,0.000808625336927224,0.0542048517520216,0.0795417789757413,0.235148247978437,0.0162264150943396,0.45088948787062,0.45177897574124,1,1
118,4,4,4,,,0.131197604790419,0.000179640718562874,0.33125748502994,0.0506586826347305,0.0990419161676647,0.0667664670658683,0.319520958083832,0.561676646706587,1,1
119,4,4,4,,,0.235408805031447,0.000377358490566038,0.140314465408805,0.0386163522012579,0.266477987421384,0.00333333333333333,0.31377358490566,0.642578616352201,1,1
120,3,4,4,3,3,0.252671480144404,0.00140794223826715,0.0851263537906137,0.244007220216606,0.152454873646209,0.0533935018050541,0.209747292418773,0.491660649819495,1,1
121,3,4,4,3,3,0.204250513347023,0.00217659137577002,0.198172484599589,0.0583162217659138,0.201416837782341,0.0309650924024641,0.303572895277207,0.606016427104723,1,1
122,3,4,4,3,3,0.204225352112676,0,0.0636619718309859,0.107323943661972,0.123239436619718,0.0274647887323944,0.473661971830986,0.39112676056338,1,1
123,3,4,4,3,3,0.279576271186441,0.000593220338983051,0.136610169491525,0.0335593220338983,0.225,0.056864406779661,0.265508474576271,0.641779661016949,1,1
124,3,4,4,3,3,0.274019607843137,0.000882352941176471,0.0665686274509804,0.118039215686274,0.131960784313725,0.0226470588235294,0.383529411764706,0.47343137254902,1,1
125,3,1,3,3,3,0.297864583333333,0.0184201388888889,0.07609375,0.00897569444444444,0.312170138888889,0.00663194444444444,0.277291666666667,0.704548611111111,1,0
126,3,1,3,3,3,0.162173913043478,0.00202898550724638,0.196086956521739,0.00536231884057971,0.229565217391304,0.00956521739130435,0.393478260869565,0.589855072463768,1,0
127,3,1,3,3,3,0.599666666666667,0.00666666666666667,0.0513333333333333,0.000666666666666667,0.195833333333333,0.000833333333333333,0.141666666666667,0.8535,1,0
128,3,1,3,3,3,0.346959314775161,0.00246252676659529,0.0509850107066381,0.0168950749464668,0.29017130620985,0.0246680942184154,0.266145610278373,0.690578158458244,1,0
129,3,1,3,3,3,0.437049808429119,0.00189655172413793,0.145632183908046,0.00350574712643678,0.303371647509579,0.0186206896551724,0.0885249042145594,0.887950191570881,1,0
130,4,4,4,3,3,0.325268542199488,0.0511764705882353,0.245933503836317,0.0327621483375959,0.172352941176471,0.00687979539641944,0.164040920716113,0.794731457800511,1,1
131,4,4,4,3,3,0.0991447368421053,0.00282894736842105,0.314309210526316,0.0499671052631579,0.24375,0.0275657894736842,0.261217105263158,0.660032894736842,1,1
132,4,4,4,3,3,0.454558823529412,0.00911764705882353,0.150735294117647,0.0275,0.251911764705882,0.0158823529411765,0.0876470588235294,0.866323529411765,1,1
133,4,4,4,3,3,0.269425287356322,0.0188505747126437,0.086551724137931,0.0936781609195402,0.43,0.00540229885057471,0.0945977011494253,0.804827586206897,1,1
134,4,4,4,3,3,0.620491803278689,0.0260655737704918,0.0761475409836066,0.0834426229508197,0.157213114754098,0.00680327868852459,0.0272131147540984,0.879918032786885,1,1
135,2,1,1,3,2,0.108202247191011,0,0.0869662921348315,0.0315730337078652,0.385955056179775,0.00426966292134832,0.381460674157303,0.581123595505618,0,0
136,2,1,1,3,2,0.185020080321285,0.000602409638554217,0.0886746987951807,0.233413654618474,0.153092369477912,0.00622489959839357,0.332048192771084,0.427389558232932,0,0
137,2,1,1,3,2,0.0855102040816327,0,0.257040816326531,0.0371428571428571,0.168775510204082,0.0178571428571429,0.434183673469388,0.511326530612245,0,0
138,2,1,1,3,2,0.212107623318386,0,0.353363228699552,0.0469506726457399,0.182107623318386,0.0117040358744395,0.192286995515695,0.747578475336323,0,0
139,2,1,1,3,2,0.291116504854369,0.00985436893203883,0.0660679611650485,0.347281553398058,0.0702912621359223,0.0113106796116505,0.203009708737864,0.437330097087379,0,0
